Item ID #,Supplier Stock Ref.,Cut,Carat,Color,Natural Fancy Color,Natural Fancy Color Intensity,Natural Fancy Color Overtone,Treated Color,Clarity,Cut Grade,Grading Lab,Certificate Number,Certificate Path,Image Path,Online Report,Video URL,3DViewer URL,Price Per Carat,Total Price,% Off IDEX List,Polish,Symmetry,Measurements Length,Measurements Width,Measurements Height,Depth,Table,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Girdle From,Girdle To,Culet Size,Culet Condition,Graining,Fluorescence Intensity,Fluorescence Color,Enhancement,Country,State / Region,Pair Stock Ref.,Asking Price For Pair,Shade,Milky,Black Inclusion,Eye Clean,Provenance Report,Provenance Number,Brand,Guaranteed Availability,
123491662,MS336896,Cushion,2.440,,Black,Fancy,,,SI1,,EGL Other,US51930134D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336896_US51930134D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS336896.jpg,,,,250,610.00,,,,7.36,6.91,4.86,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491663,MS336897,Cushion,3.480,,Black,Fancy,,,SI1,,EGL Other,US51930248D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336897_US51930248D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS336897.jpg,https://www.youtube.com/embed/uRyeu2K3fD0,,,300,1044.00,,,,8.73,7.87,5.45,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491664,MS336898,Cushion,3.630,,Black,Fancy,,,SI1,,EGL Other,US51930133D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336898_US51930133D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS336898.jpg,https://www.youtube.com/embed/d_wFAoVrcoI,,,300,1089.00,,,,8.47,7.72,5.6,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491666,MS336910,Emerald,0.440,,Black,Fancy,,,SI1,,EGL Other,US51929962D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336910_US51929962D.jpg,,,,,250,110.00,,,,5.45,3.99,2.04,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491667,MS336913,Emerald,1.100,,Black,Fancy,,,VS1,,EGL Other,US51173305D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/336913.jpg,,,,,350,385.00,,,,5.41,5.33,3.17,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491668,MS336915,Emerald,1.410,,Black,Fancy,,,VS1,,EGL Other,US51173302D,,,,,,350,493.50,,,,6.62,6.29,3.21,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491669,MS336917,Emerald,1.670,,Black,Fancy,,,VS1,,EGL Other,US51173304D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/336917.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS336917.jpg,,,,350,584.50,,,,6.94,6.44,3.19,,,,,,,,,,,,,,Irradiated,USA,New York,,350.0000,,,,,,,,Yes,
123491671,MS336931,Marquise,0.600,,Black,Fancy,,,SI1,,EGL Other,US51930243D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336931_US51930243D.jpg,https://dtol-member-images.s3.amazonaws.com/1265/Images/MS336931.jpg,,,,250,150.00,,,,7.06,4.07,3.49,,,,,,,,,,,,,,Irradiated,USA,New York,,250.0000,,,,,,,,Yes,
123491674,MS336942,Oval,0.960,,Black,Fancy,,,VS1,,EGL Other,US51930141D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336942_US51930141D.jpg,,,,,300,288.00,,,,7.21,6,2.57,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
123491675,MS336943,Oval,0.980,,Black,Fancy,,,VS1,,EGL Other,US51929947D,https://deleay7hd9tqb.cloudfront.net/1265/Certificates/MS336943_US51929947D.jpg,,,,,300,294.00,,,,7.11,5.97,2.66,,,,,,,,,,,,,,Irradiated,USA,New York,,300.0000,,,,,,,,Yes,
